Orig,New
N,N
Ptc,Ptc
prs-N-pzr,Pp
prs-Va-tamn,Va
A,A
Va-nzr,N
DPro,DPro
A-nzr-n,N
prs-val-Vt-tamn,Vt
prs-Pp,Pp
Vo-nzr,N
prs-Vo-tamn,Vo
prs-Vt-tamn,Vt
Pro,Pro
Pp,Pp
Ideo,Ideo
azr-Vt-azr-nzr,N
prs-Va-nzr-pos,N
azr-Va-azr-nzr,N
prs-N-pos,N
N-n,N
Va-nzr-n,N
prs-N,N
prs-Vo-azr,A
prs-Pp-azr,A
Vo-nzr-pos,N
Pp-azr,A
A-azr-nzr,N
A-azr,A
prs-Ptc-pos,Ptc
Va-azr,A
A-nzr,N
val-Pp,Pp
prs-Vt-azr,A
Nm,N
Intrg,Intrg
Va-tamn,Va
prs-Va-v-tamn,Va
pts-Pp,Pp
Pp-nzr,N
Vo-tamn,Vo
prs-Va-azr,A
prs-N-azr,A
prs-N-nzr-pos,N
prs-N-pos-num,N
Vt-azr,A
Va-azr-num,A
val-Vt-azr-nzr,N
Intj,Intj
DPro-nzr,N
prs-prs-Vt-tamn,Vt
Intrg-n,Intrg
prs-val-Vo-val-tamn,Vt
DPro-n,DPro
prs-N-pos-n,N
val-N-pzr,Pp
prs-val-N,N
Vt-tamn,Vt
N-azr,A
N-pzr,Pp
prs-Pp-num,Pp
prs-Va-nzr,N
N-n-pos,N
prs-nzr-Vt-pos-n-pos,N
prs-Vt-val-tamn,Vt
Intrg-nzr-n,N
prs-nzr-Vt-nzr-pos,N
nzr-Vt-nzr-pos,N
azr-Va-azr,A
prs-Vo-val-tamn,Vt
Vt-azr-num,A
prs-Pp-azr-num,A
prs-Vo-nzr-pos,N
azr-Va-v-azr,A
prs-Va-nzr-azr,A
val-Vt-azr,A
azr-N-pos-num,N
prs-Vt-nzr-pos-num-n,N
prs-Va-nzr-azr-num,A
Vt-nzr,N
val-Vt-nzr,N
prs-Pp-nzr-nzr,N
azr-Vt-v-azr,A
prs-Pp-nzr,N
prs-Vt-v-nzr,N
prs-Vt-val-nzr-pos-num-n,N
Vo-azr,A
prs-Vt-nzr-pos-nzr,N
prs-Vt-nzr-pos,N
azr-val-Vt-azr-nzr,N
prs-Vt-v-tamn,Vt
prs-nzr-Vt-pos,N
prs-N-pos-pos,N
azr-N-azr,A
prs-N-vzr-nzr-pos,N
prs-N-num,N
prs-Vt-nzr,N
prs-val-Vt-nzr-pos,N
Vt,Vt
prs-Vo-val-nzr,N
Ptc-num,Ptc
N-nzr,N
prs-val-Vt-nzr,N
val-N-vzr-tamn,V
Va-nzr-azr,A
prs-Pp-nzr-n,N
evd-prs-Va-tamn,Va
prs-Vt-nzr-azr,A
N-pzr-azr,A
prs-Pp-pzr,Pp
prs-N-vzr-tamn,V
prs-val-N-vzr-tamn,V
Pro-n,Pro
prs-Ptc-azr,A
prs-Pp-pzr-nzr,N
prs-Vo-v-tamn,Vo
azr-N,A
prs-N-n,N
prs-N-nzr,N
N-azr?,A
azr-Vt-azr,A
Vt-n,N
Intrg-nzr,N
azr-Vo-azr,A
Vo-azr?-azr,A
prs-Vt-?-pos-n,Vt
GeoN,GeoN
prs-Vt-nzr-pos-pos,N
azr-Vo-azr-nzr,N
Pp-tamn,Pp
azr-val-Vt-azr,A
Pp-nzr-n,N
A-nzr-pos,N
azr-Pp,A
val-Vt-tamn,Vt
val-Vt-nzr-pos,N
prs-A-nzr-pos,N
prs-N-pzr-num,Pp
azr-N-azr-nzr-n,N
prs-val-Vt-val-tamn,Vt
azr-Vt-nzr-pos,N
prs-Pp-tamn-nzr,N
prs-N-tamn,Vt
N-pos,N
prs-Vt-v-azr,A
azr-N-azr-nzr,N
prs-val-Vt-v-tamn,Vt
prs-Vt-nzr-pos-n,N
Ptc-nzr,N
Va-nzr-pos,N
prs-Vi-tamn,V
A-tamn-nzr,N
prs-Vo-v-pos-num,Vo
prs-Ptc,Ptc
prs-Vt-val-nzr-pos,N
evd-prs-Vo-tamn,Vo
prs-nzr-Vo-nzr-pos,N
prs-val-Vt-nzr-azr,A
Vo-azr?-nzr,N
prs-Pp-tamn,Pp
Intrg-nzr-nzr,N
prs-Vt-nzr-nzr,N
Va-nzr-nzr,N
prs-Vo-nzr,N
A-nzr-nzr,N
Pp-nzr-nzr,N
prs-N-azr-nzr-nzr,N
Ptc-azr,A
evd-prs-Vt-tamn,Vt
azr-N-pos,A
prs-Vo-nzr-nzr,N
prs-val-Vt-azr,A
prs-Va-val-tamn,Vt
A-nzr-azr,A
GeoN-n,N
prs-val-Vt-val-vzr-tamn,V
prs-Vo-v-nzr-pos,N
Ptc-n,Ptc
A-tamn,A
prs-N-vzr-nzr,N
Pp-nzr-azr,A
prs-Vo-nzr-azr,A
Va,Va
prs-nzr-Vt-n,N
azr-Vo-val-azr,A
prs-Vt-azr-num,A
Pp-nzr-pos-n,N
nzr-Vt-tamn,Vt
nzr-pos,N
prs-Va-nzr-azr-nzr,N
prs-N-pos-azr,A
DPro-pos,DPro
